ID,Title,ShortTitle,Identifier,Summary,Modified,ReasonDelivery,ExplanatoryText,Language,Catalog,Frequency,Period,ShortDescription,Description,DefaultPresentation,DefaultSelection,GraphTypes,OutputStatus,Source,MetaDataModified,SearchPriority
GM0197,Aalten,"Gemeentelijke herindeling per 01-01-2005, ontvangen van:
- Aalten (GM0197),
... 8290 hectare met 7207 woningen en 18935 inwoners
- Dinxperlo (GM0219),
... 1367 hectare met 3471 woningen en 8511 inwoners
Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0480,Ter Aar,"Opgeheven per 01-01-2007, overgegaan naar:
- Nieuwkoop (GM0569),
... 1937 hectare met 3344 woningen en 8964 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0739,Aarle-Rixtel,"Opgeheven per 01-01-1997, overgegaan naar:
- Helmond (GM0794),
... 313 hectare met 41 woningen en 147 inwoners
- Laarbeek (GM1659),
... 1322 hectare met 2033 woningen en 5760 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0305,Abcoude,"Opgeheven per 01-01-2011, overgegaan naar:
- De Ronde Venen (GM0736),
... 3039 hectare met 3645 woningen en 8791 inwoners

Begindatum 01-05-1941

",,,,,,,,,,,,,,,,,,
GM0059,Achtkarspelen,"Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0360,Akersloot,"Opgeheven per 01-01-2002, overgegaan naar:
- Castricum (GM0383),
... 1001 hectare met 1929 woningen en 5174 inwoners

Grenswijziging per 01-01-1998, overgegaan naar:
- Alkmaar (GM0361),
... 15 hectare met 1 woning en 5 inwoners
- Heiloo (GM0399),
... 14 hectare met 2 woningen en 6 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0482,Alblasserdam,"Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0613,Albrandswaard,"Begindatum 01-01-1985

",,,,,,,,,,,,,,,,,,
GM0483,Alkemade,"Opgeheven per 01-01-2009, overgegaan naar:
- Kaag en Braassem (GM1884),
... 2695 hectare met 5447 woningen en 14628 inwoners

Grenswijziging per 01-01-2005, ontvangen van:
- Jacobswoude (GM0645),
... 12 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2005, overgegaan naar:
- Leiderdorp (GM0547),
... 10 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0361,Alkmaar,"Gemeentelijke herindeling per 01-01-2015, ontvangen van:
- Alkmaar (GM0361),
... 2928 hectare met 45286 woningen en 95248 inwoners
- Graft-De Rijp (GM0365),
... 1994 hectare met 2593 woningen en 6406 inwoners
- Schermer (GM0458),
... 6129 hectare met 2197 woningen en 5452 inwoners

Grenswijziging per 01-01-1998, ontvangen van:
- Akersloot (GM0360),
... 15 hectare met 1 woning en 5 inwoners
- Heiloo (GM0399),
... 280 hectare met 30 woningen en 114 inwoners
- Langedijk (GM0416),
... 59 hectare met 1 woning en 3 inwoners
Grenswijziging per 01-01-1998, overgegaan naar:
- Egmond (GM0357),
... 1 hectare met 0 woningen en 0 inwoners
- Heiloo (GM0399),
... 25 hectare met 7 woningen en 32 inwoners
- Langedijk (GM0416),
... 2 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0141,Almelo,"Grenswijziging per 01-01-2001, ontvangen van:
- Ambt Delden (GM0142),
... 198 hectare met 15 woningen en 50 inwoners
- Borne (GM0147),
... 1622 hectare met 592 woningen en 1800 inwoners
- Vriezenveen (GM0186),
... 973 hectare met 729 woningen en 1601 inwoners
- Wierden (GM0189),
... 119 hectare met 11 woningen en 29 inwoners

Grenswijziging per 01-01-1997, ontvangen van:
- Borne (GM0147),
... 84 hectare met 12 woningen en 47 inwoners
Begindatum 01-12-1913

",,,,,,,,,,,,,,,,,,
GM0034,Almere,"Begindatum 01-01-1984

",,,,,,,,,,,,,,,,,,
GM0484,Alphen aan den Rijn,"Gemeentelijke herindeling per 01-01-2014, ontvangen van:
- Alphen aan den Rijn (GM0484),
... 5496 hectare met 31375 woningen en 73124 inwoners
- Boskoop (GM0499),
... 1485 hectare met 6328 woningen en 15177 inwoners
- Rijnwoude (GM1672),
... 5667 hectare met 7730 woningen en 18484 inwoners

Begindatum 01-01-1918

",,,,,,,,,,,,,,,,,,
GM0741,Alphen en Riel,"Opgeheven per 01-01-1997, overgegaan naar:
- Alphen-Chaam (GM1723),
... 3980 hectare met 1387 woningen en 3857 inwoners
- Goirle (GM0785),
... 1602 hectare met 864 woningen en 2432 inwoners
- Tilburg (GM0855),
... 72 hectare met 0 woningen en 0 inwoners
Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM1723,Alphen-Chaam,"Grenswijziging per 01-01-1998, ontvangen van:
- Goirle (GM0785),
... 1 hectare met 0 woningen en 0 inwoners

Ontstaan per 01-01-1997, ontvangen van:
- Alphen en Riel (GM0741),
... 3980 hectare met 1387 woningen en 3857 inwoners
- Chaam (GM0760),
... 2991 hectare met 1427 woningen en 3783 inwoners
Grenswijziging per 01-01-1997, ontvangen van:
- Breda (GM0758),
... 11 hectare met 4 woningen en 7 inwoners
- Nieuw-Ginneken (GM0817),
... 2353 hectare met 590 woningen en 1696 inwoners
Begindatum 01-01-1997

",,,,,,,,,,,,,,,,,,
GM1959,Altena,"Ontstaan per 01-01-2019, ontvangen van:
- Aalburg (GM0738),
... 5041 hectare met 5167 woningen en 13321 inwoners
- Werkendam (GM0870),
... 10090 hectare met 10929 woningen en 27295 inwoners
- Woudrichem (GM0874),
... 4932 hectare met 6125 woningen en 14770 inwoners
Begindatum 01-01-2019
",,,,,,,,,,,,,,,,,,
GM0142,Ambt Delden,"Opgeheven per 01-01-2001, overgegaan naar:
- Almelo (GM0141),
... 198 hectare met 15 woningen en 50 inwoners
- Borne (GM0147),
... 219 hectare met 34 woningen en 167 inwoners
- Hof van Twente (GM1735),
... 7861 hectare met 1862 woningen en 5315 inwoners

Grenswijziging per 01-01-1995, overgegaan naar:
- Goor (GM0156),
... 122 hectare met 23 woningen en 67 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM1679,Ambt Montfort,"Opgeheven per 01-01-2007, overgegaan naar:
- Roerdalen (GM1669),
... 4410 hectare met 4430 woningen en 10909 inwoners

Begindatum 01-02-1994

",,,,,,,,,,,,,,,,,,
GM0060,Ameland,"Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0306,Amerongen,"Opgeheven per 01-01-2006, overgegaan naar:
- Rhenen (GM0340),
... 68 hectare met 124 woningen en 369 inwoners
- Utrechtse Heuvelrug (GM1581),
... 2872 hectare met 2507 woningen en 6904 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0307,Amersfoort,"Grenswijziging per 01-01-1998, ontvangen van:
- Bunschoten (GM0313),
... 71 hectare met 0 woningen en 0 inwoners
- Hoevelaken (GM0253),
... 160 hectare met 70 woningen en 184 inwoners
- Leusden (GM0327),
... 296 hectare met 63 woningen en 120 inwoners
- Nijkerk (GM0267),
... 149 hectare met 23 woningen en 63 inwoners

Begindatum voor 1830
",,,,,,,,,,,,,,,,,,
GM0198,Ammerzoden,"Opgeheven per 01-01-1999, overgegaan naar:
- Maasdriel (GM0263),
... 991 hectare met 1551 woningen en 4443 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0362,Amstelveen,"Grenswijziging per 01-01-2002, ontvangen van:
- Aalsmeer (GM0358),
... 208 hectare met 50 woningen en 116 inwoners
Grenswijziging per 01-01-2002, overgegaan naar:
- Aalsmeer (GM0358),
... 82 hectare met 72 woningen en 197 inwoners

Begindatum 01-01-1964
",,,,,,,,,,,,,,,,,,
GM0363,Amsterdam,"Grenswijziging per 01-01-2014, ontvangen van:
- Haarlemmermeer (GM0394),
... 1 hectare met 0 woningen en 170 inwoners

Grenswijziging per 01-01-2006, ontvangen van:
- Ouder-Amstel (GM0437),
... 43 hectare met 9 inwoners
Grenswijziging per 01-01-2006, overgegaan naar:
- Ouder-Amstel (GM0437),
... 7 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2000, ontvangen van:
- Diemen (GM0384),
... 2 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2000, overgegaan naar:
- Diemen (GM0384),
... 8 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-1997, ontvangen van:
- Haarlemmerliede en Spaarnwoude (GM0393),
... 630 hectare met 45 woningen en 115 inwoners
Grenswijziging per 01-01-1997, overgegaan naar:
- Haarlemmerliede en Spaarnwoude (GM0393),
... 8 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830
",,,,,,,,,,,,,,,,,,
GM0364,Andijk,"Opgeheven per 01-01-2011, overgegaan naar:
- Medemblik (GM0420),
... 2114 hectare met 2594 woningen en 6518 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0199,Angerlo,"Opgeheven per 01-01-2005, overgegaan naar:
- Zevenaar (GM0299),
... 2612 hectare met 1843 woningen en 5184 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0105,Anloo,"Opgeheven per 01-01-1998, overgegaan naar:
- Aa en Hunze (GM1680),
... 9116 hectare met 3178 woningen en 8149 inwoners
- Zuidlaren (GM0136),
... 70 hectare met 44 woningen en 113 inwoners
Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0366,Anna Paulowna,"Opgeheven per 01-01-2012, overgegaan naar:
- Hollands Kroon (GM1911),
... 7464 hectare met 5844 woningen en 14304 inwoners

Begindatum 18-07-1870
",,,,,,,,,,,,,,,,,,
GM0200,Apeldoorn,"Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0003,Appingedam,"Opgeheven per 01-01-2021, overgegaan naar:
- Eemsdelta (GM1979),
... 2378 hectare met 6023 woningen en 11496 inwoners

Begindatum voor 1830
",,,,,,,,,,,,,,,,,,
GM0885,Arcen en Velden,"Opgeheven per 01-01-2010, overgegaan naar:
- Venlo (GM0983),
... 3960 hectare met 3677 woningen en 8668 inwoners

Grenswijziging per 01-01-2001, overgegaan naar:
- Venlo (GM0983),
... 46 hectare met 17 woningen en 51 inwoners

Begindatum 02-01-1839

",,,,,,,,,,,,,,,,,,
GM0649,Arnemuiden,"Opgeheven per 01-01-1997, overgegaan naar:
- Goes (GM0664),
... 3 hectare met 0 woningen en 0 inwoners
- Middelburg (Z.) (GM0687),
... 1498 hectare met 1757 woningen en 5089 inwoners

Grenswijziging per 01-01-1996, ontvangen van:
- Middelburg (Z.) (GM0687),
... 5 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-1996, overgegaan naar:
- Vlissingen (GM0718),
... 2 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0202,Arnhem,"Grenswijziging per 01-01-1996, overgegaan naar:
- Elst (GM0231),
... 1 woning en 2 inwoners

Grenswijziging per 01-01-1995, ontvangen van:
- Elst (GM0231),
... 240 hectare met 20 woningen en 45 inwoners
- Heteren (GM0251),
... 191 hectare met 31 woningen en 91 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0106,Assen,"Grenswijziging per 01-01-2000, ontvangen van:
- Tynaarlo (GM1730),
... 2 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2000, overgegaan naar:
- Tynaarlo (GM1730),
... 3 hectare met 0 woningen en 2 inwoners

Grenswijziging per 01-01-1998, ontvangen van:
- Beilen (GM0107),
... 335 hectare met 7 woningen en 1 inwoner
- Norg (GM0120),
... 85 hectare met 0 woningen en 0 inwoners
- Rolde (GM0126),
... 3 hectare met 0 woningen en 0 inwoners
- Smilde (GM0131),
... 169 hectare met 7 woningen en 17 inwoners
- Vries (GM0133),
... 2213 hectare met 179 woningen en 510 inwoners
Grenswijziging per 01-01-1998, overgegaan naar:
- Aa en Hunze (GM1680),
... 10 hectare met 0 woningen en 0 inwoners
- Middenveld (GM1697),
... 2 hectare met 0 woningen en 0 inwoners
- Zuidlaren (GM0136),
... 1 hectare met 0 woningen en 0 inwoners
Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0743,Asten,"Grenswijziging per 01-01-1998, ontvangen van:
- Someren (GM0847),
... 1 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-1997, ontvangen van:
- Deurne (GM0762),
... 9 hectare met 0 woningen en 0 inwoners
- Helmond (GM0794),
... 1 hectare met 0 woningen en 0 inwoners
- Someren (GM0847),
... 197 hectare met 6 woningen en 16 inwoners
Grenswijziging per 01-01-1997, overgegaan naar:
- Deurne (GM0762),
... 1 hectare met 27 woningen en 82 inwoners
- Helmond (GM0794),
... 5 hectare met 0 woningen en 0 inwoners
- Someren (GM0847),
... 5 hectare met 2 woningen en 6 inwoners
Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0143,Avereest,"Opgeheven per 01-01-2001, overgegaan naar:
- Hardenberg (GM0160),
... 7363 hectare met 5836 woningen en 15371 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0650,Axel,"Opgeheven per 01-01-2003, overgegaan naar:
- Terneuzen (GM0715),
... 7143 hectare met 5389 woningen en 12266 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0744,Baarle-Nassau,"Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0308,Baarn,"Grenswijziging per 01-01-1999, overgegaan naar:
- Soest (GM0342),
... 29 hectare met 5 woningen en 11 inwoners
Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0745,Bakel en Milheeze,"Opgeheven per 01-01-1997, overgegaan naar:
- Deurne (GM0762),
... 20 hectare met 1 woning en 0 inwoners
- Gemert-Bakel (GM1652),
... 6598 hectare met 2735 woningen en 8265 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0489,Barendrecht,"Begindatum 10-12-1886

",,,,,,,,,,,,,,,,,,
GM0203,Barneveld,"Grenswijziging per 01-01-2014, ontvangen van:
- Nijkerk (GM0267),
... 16 hectare met 0 woningen en 30 inwoners
Grenswijziging per 01-01-2014, overgegaan naar:
- Nijkerk (GM0267),
... 19 hectare met 0 woningen en 19 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0144,Bathmen,"Opgeheven per 01-01-2005, overgegaan naar:
- Deventer (GM0150),
... 2622 hectare met 2170 woningen en 5339 inwoners

Grenswijziging per 01-01-1999, overgegaan naar:
- Deventer (GM0150),
... 140 hectare met 20 woningen en 54 inwoners
Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0005,Bedum,"Opgeheven per 01-01-2019, overgegaan naar:
- Het Hogeland (GM1966),
... 4454 hectare met 4703 woningen en 10493 inwoners

Begindatum voor 1830
",,,,,,,,,,,,,,,,,,
GM0888,Beek (L.),"Begindatum 02-01-1839
",,,,,,,,,,,,,,,,,,
GM0746,Beek en Donk,"Opgeheven per 01-01-1997, overgegaan naar:
- Laarbeek (GM1659),
... 1651 hectare met 3584 woningen en 9650 inwoners
Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM1954,Beekdaelen,"Ontstaan per 01-01-2019, ontvangen van:
- Nuth (GM0951),
... 3310 hectare met 7018 woningen en 15187 inwoners
- Onderbanken (GM0881),
... 2114 hectare met 3661 woningen en 7782 inwoners
- Schinnen (GM0962)
... 2406 hectare met 5956 woningen en 12758 inwoners
Begindatum 01-01-2019
",,,,,,,,,,,,,,,,,,
GM0370,Beemster,"Opgeheven per 01-01-2022, overgegaan naar:
- Purmerend (GM0439)

Begindatum voor 1830
",,,,,,,,,,,,,,,,,,
GM0889,Beesel,"Begindatum 02-01-1839

",,,,,,,,,,,,,,,,,,
GM0107,Beilen,"Opgeheven per 01-01-1998, overgegaan naar:
- Assen (GM0106),
... 335 hectare met 7 woningen en 1 inwoner
- Hoogeveen (GM0118),
... 935 hectare met 278 woningen en 798 inwoners
- Middenveld (GM1697),
... 14813 hectare met 5489 woningen en 14412 inwoners
- Westerveld (GM1701),
... 476 hectare met 1 woning en 2 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0890,Belfeld,"Opgeheven per 01-01-2001, overgegaan naar:
- Venlo (GM0983),
... 1354 hectare met 2164 woningen en 5449 inwoners
Begindatum 02-01-1839

",,,,,,,,,,,,,,,,,,
GM0007,Bellingwedde,"Opgeheven per 01-01-2018, overgegaan naar:
- Westerwolde (GM1950),
... 10837 hectare met 4118 woningen en 8816 inwoners

Begindatum 01-09-1968
",,,,,,,,,,,,,,,,,,
GM0206,Bemmel,"Naamswijziging per 01-01-2003,
nieuwe naam: Lingewaard (GM1705)

Gemeentelijke herindeling per 01-01-2001, ontvangen van:
- Bemmel (GM0206),
... 3734 hectare met 6761 woningen en 18104 inwoners
- Gendt (GM0238),
... 1263 hectare met 2716 woningen en 7286 inwoners
- Huissen (GM0255),
... 1309 hectare met 6183 woningen en 15782 inwoners

Grenswijziging per 01-01-2000, overgegaan naar:
- Elst (GM0231),
... 15 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-1997, overgegaan naar:
- Nijmegen (GM0268),
... 234 hectare met 32 woningen en 87 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0372,Bennebroek,"Opgeheven per 01-01-2009, overgegaan naar:
- Bloemendaal (GM0377),
... 175 hectare met 2219 woningen en 5185 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM1945,Berg en Dal,"Grenswijziging per 01-01-2019, ontvangen van:
- Nijmegen (GM0268),
... 5 hectare met 26 woningen en 25 inwoners
Grenswijziging per 01-01-2019, overgegaan naar:
- Nijmegen (GM0268),
... 9 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2016, ontvangen van:
- Mook en Middelaar (GM0944),
... 0 hectare met 0 woningen en 5 inwoners

Naamswijziging per 01-01-2016,
oude naam: Groesbeek (GM0241)
Begindatum 01-01-2016
",,,,,,,,,,,,,,,,,,
GM0491,Bergambacht,"Opgeheven per 01-01-2015, overgegaan naar:
- Krimpenerwaard (GM1931),
... 3510 hectare met 4231 woningen en 10186 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM1724,Bergeijk,"Grenswijziging per 01-01-2002, ontvangen van:
- Valkenswaard (GM0858),
... 3 hectare met 0 woningen en 0 inwoners

Naamswijziging per 25-09-1998,
oude naam: Bergeyk (GM0749)
Begindatum 25-09-1998
",,,,,,,,,,,,,,,,,,
GM0893,Bergen (L.),"Grenswijziging per 01-01-2010, overgegaan naar:
- Venlo (GM0983),
... 86 hectare met 0 woningen en 0 inwoners

Begindatum 02-01-1839
",,,,,,,,,,,,,,,,,,
GM0373,Bergen (NH.),"Gemeentelijke herindeling per 01-01-2001, ontvangen van:
- Bergen (NH.) (GM0373),
... 3271 hectare met 6068 woningen en 13743 inwoners
- Egmond (GM0357),
... 3147 hectare met 4718 woningen en 11358 inwoners
- Schoorl (GM0444),
... 3295 hectare met 2626 woningen en 6586 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0748,Bergen op Zoom,"Gemeentelijke herindeling per 01-01-1997, ontvangen van:
- Bergen op Zoom (GM0748),
... 4021 hectare met 20970 woningen en 49347 inwoners
- Halsteren (GM0789),
... 2655 hectare met 4992 woningen en 13238 inwoners
Grenswijziging per 01-01-1997, ontvangen van:
- Steenbergen (GM0851),
... 332 hectare met 61 woningen en 160 inwoners
- Woensdrecht (GM0873),
... 768 hectare met 153 woningen en 307 inwoners
- Wouw (GM0875),
... 292 hectare met 64 woningen en 182 inwoners
Grenswijziging per 01-01-1997, overgegaan naar:
- Roosendaal (GM1674),
... 4 hectare met 0 woningen en 0 inwoners
- Woensdrecht (GM0873),
... 51 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0749,Bergeyk,"Naamswijziging per 25-09-1998,
nieuwe naam: Bergeijk (GM1724)

Gemeentelijke herindeling per 01-01-1997, ontvangen van:
- Bergeyk (GM0749),
... 5071 hectare met 3920 woningen en 10704 inwoners
- Luyksgestel (GM0810),
... 2261 hectare met 1027 woningen en 2897 inwoners
- Riethoven (GM0837),
... 1703 hectare met 828 woningen en 2328 inwoners
- Westerhoven (GM0871),
... 1057 hectare met 649 woningen en 1840 inwoners
Grenswijziging per 01-01-1997, ontvangen van:
- Eersel (GM0770),
... 6 hectare met 0 woningen en 0 inwoners
- Valkenswaard (GM0858),
... 1 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-1997, overgegaan naar:
- Bladel (GM1728),
... 142 hectare met 0 woningen en 0 inwoners
Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0207,Bergh,"Opgeheven per 01-01-2005, overgegaan naar:
- Doetinchem (GM0222),
... 26 hectare met 6 woningen en 28 inwoners
- Montferland (GM1955),
... 7382 hectare met 7207 woningen en 18388 inwoners
- Zevenaar (GM0299),
... 28 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0492,Bergschenhoek,"Opgeheven per 01-01-2007, overgegaan naar:
- Lansingerland (GM1621),
... 1477 hectare met 6011 woningen en 16694 inwoners
Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0493,Berkel en Rodenrijs,"Opgeheven per 01-01-2007, overgegaan naar:
- Lansingerland (GM1621),
... 1860 hectare met 8206 woningen en 20856 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0751,Berkel-Enschot,"Opgeheven per 01-01-1997, overgegaan naar:
- Oisterwijk (GM0824),
... 783 hectare met 118 woningen en 395 inwoners
- Tilburg (GM0855),
... 1178 hectare met 3784 woningen en 10258 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM1859,Berkelland,"Grenswijziging per 01-01-2018, overgegaan naar:
- Oost Gelre (GM1586),
... 32 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2006, ontvangen van:
- Groenlo (GM0240),
... 11 hectare met 0 woningen en 0 inwoners

Ontstaan per 01-01-2005, ontvangen van:
- Borculo (GM0211),
... 5511 hectare met 4059 woningen en 10339 inwoners
- Eibergen (GM0229),
... 10300 hectare met 6034 woningen en 16132 inwoners
- Neede (GM0266),
... 4587 hectare met 4413 woningen en 10915 inwoners
- Ruurlo (GM0278),
... 5455 hectare met 2873 woningen en 7838 inwoners
Grenswijziging per 01-01-2005, ontvangen van:
- Hengelo (Gld.) (GM0248),
... 6 hectare met 1 woning en 3 inwoners
- Lochem (GM0262),
... 1 hectare met 0 woningen en 0 inwoners
- Vorden (GM0286),
... 1 hectare met 0 woningen en 0 inwoners
- Zelhem (GM0298),
... 1 hectare met 0 woningen en 0 inwoners
Begindatum 01-01-2005
",,,,,,,,,,,,,,,,,,
GM0752,Berlicum,"Opgeheven per 01-01-1996, overgegaan naar:
- Bernheze (GM1721),
... 1 hectare met 0 woningen en 0 inwoners
- 's-Hertogenbosch (GM0796),
... 8 hectare met 0 woningen en 0 inwoners
- Maasdonk (GM1671),
... 75 hectare met 25 woningen en 78 inwoners
- Sint-Michielsgestel (GM0845),
... 2373 hectare met 3127 woningen en 8855 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM1721,Bernheze,"Grenswijziging per 01-01-1996, ontvangen van:
- Berlicum (GM0752),
... 1 hectare met 0 woningen en 0 inwoners
- Schijndel (GM0844),
... 293 hectare met 31 woningen en 102 inwoners
Grenswijziging per 01-01-1996, overgegaan naar:
- Sint-Michielsgestel (GM0845),
... 1 hectare met 0 woningen en 0 inwoners

Naamswijziging per 28-01-1995,
oude naam: Heesch (GM0791)
Begindatum 28-01-1995

",,,,,,,,,,,,,,,,,,
GM0568,Bernisse,"Opgeheven per 01-01-2015, overgegaan naar:
- Nissewaard (GM1930),
... 5736 hectare met 5524 woningen en 12381 inwoners

Begindatum 01-01-1980

",,,,,,,,,,,,,,,,,,
GM0753,Best,"Grenswijziging per 01-01-2005, ontvangen van:
- Son en Breugel (GM0848),
... 10 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-1997, ontvangen van:
- Oirschot (GM0823),
... 55 hectare met 1 woning en 0 inwoners
Grenswijziging per 01-01-1997, overgegaan naar:
- Oirschot (GM0823),
... 133 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0209,Beuningen,"Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0375,Beverwijk,"Grenswijziging per 01-01-2012, ontvangen van:
- Velsen (GM0453),
... 6 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2012, overgegaan naar:
- Velsen (GM0453),
... 29 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2006, ontvangen van:
- Heemskerk (GM0396),
... 6 hectare met 30 woningen en 71 inwoners
Grenswijziging per 01-01-2006, overgegaan naar:
- Heemskerk (GM0396),
... 3 hectare met 15 woningen en 24 inwoners

Grenswijziging per 01-01-1996, ontvangen van:
- Heemskerk (GM0396),
... 5 hectare met 5 woningen en 13 inwoners

Begindatum voor 1830
",,,,,,,,,,,,,,,,,,
GM0063,het Bildt,"Opgeheven per 01-01-2018, overgegaan naar:
- Waadhoeke (GM1949),
... 9233 hectare met 4706 woningen en 10560 inwoners

Begindatum voor 1830
",,,,,,,,,,,,,,,,,,
GM0310,De Bilt,"Gemeentelijke herindeling per 01-01-2001, ontvangen van:
- De Bilt (GM0310),
... 2693 hectare met 14541 woningen en 32471 inwoners
- Maartensdijk (GM0334),
... 3968 hectare met 3668 woningen en 9585 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0585,Binnenmaas,"Opgeheven per 01-01-2019, overgegaan naar:
- Hoeksche Waard (GM1963),
... 6933 hectare met 12868 woningen en 29292 inwoners

Gemeentelijke herindeling per 01-01-2007, ontvangen van:
- Binnenmaas (GM0585),
... 5026 hectare 8104 woningen en 19614 inwoners
- 's-Gravendeel (GM0517),
... 1885 hectare 3709 woningen en 9035 inwoners

Begindatum 01-01-1984
",,,,,,,,,,,,,,,,,,
GM1728,Bladel,"Ontstaan per 01-01-1997, ontvangen van:
- Bladel en Netersel (GM0754),
... 3315 hectare met 3751 woningen en 10570 inwoners
- Hoogeloon, Hapert en Casteren (GM0800),
... 3965 hectare met 2991 woningen en 8281 inwoners
Grenswijziging per 01-01-1997, ontvangen van:
- Bergeyk (GM0749),
... 142 hectare met 0 woningen en 0 inwoners
- Oost-, West- en Middelbeers (GM0825),
... 50 hectare met 0 woningen en 0 inwoners
- Reusel (GM0836),
... 45 hectare met 4 woningen en 0 inwoners
- Vessem, Wintelre en Knegsel (GM0862),
... 31 hectare met 0 woningen en 0 inwoners
Begindatum 01-01-1997

",,,,,,,,,,,,,,,,,,
GM0754,Bladel en Netersel,"Opgeheven per 01-01-1997, overgegaan naar:
- Bladel (GM1728),
... 3315 hectare met 3751 woningen en 10570 inwoners
- Reusel-De Mierden (GM1667),
... 4 hectare met 0 woningen en 0 inwoners
Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0376,Blaricum,"Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
GM0495,Bleiswijk,"Opgeheven per 01-01-2007, overgegaan naar:
- Lansingerland (GM1621),
... 2112 hectare met 3932 woningen en 10377 inwoners

Begindatum voor 1830

",,,,,,,,,,,,,,,,,,
